,label_,label
0,audi#a6_c8(2019),0
1,audi#a6_new(2004),1
2,audi#q5_q5(2008),2
3,bmw#1 series_f20(2012),3
4,bmw#3 series_f30(2012),4
5,bmw#5 series_e60(2003),5
6,bmw#5 series_f10(2010),6
7,bmw#5 series_g30(2017),7
8,bmw#x series_x3 (g01)(2017),8
9,bmw#x series_x5 (f15)(2013),9
10,bmw#x series_x5 (g05)(2019),10
11,chevrolet(gm daewoo)#alpheon_alpheon(2010),11
12,chevrolet(gm daewoo)#captiva_captiva(2011),12
13,chevrolet(gm daewoo)#cruze_amazing new(2015),13
14,chevrolet(gm daewoo)#cruze_cruze(2011),14
15,chevrolet(gm daewoo)#damas_new(2008),15
16,chevrolet(gm daewoo)#labo_new(2008),16
17,chevrolet(gm daewoo)#malibu_all new(2016),17
18,chevrolet(gm daewoo)#malibu_malibu(2011),18
19,chevrolet(gm daewoo)#matiz_all new(2005),19
20,chevrolet(gm daewoo)#orlando_orlando(2011),20
21,chevrolet(gm daewoo)#spark_spark(2011),21
22,chevrolet(gm daewoo)#spark_the new(2018),22
23,chevrolet(gm daewoo)#spark_the next(2015),23
24,chevrolet(gm daewoo)#tosca_tosca(2006),24
25,chevrolet(gm daewoo)#trailblazer_trailblazer(2020),25
26,chevrolet(gm daewoo)#trax_the new(2016),26
27,chevrolet(gm daewoo)#trax_trax(2013),27
28,chevrolet(gm daewoo)#winstorm_winstorm(2006),28
29,express bus#unknown,29
30,ford#explorer_5th(2010),30
31,ford#explorer_6th(2019),31
32,ford#unknown,32
33,honda#accord_all new(2008),33
34,honda#unknown,34
35,hyundai#accent_new(2010),35
36,hyundai#avante_ad(2015),36
37,hyundai#avante_cn7(2020),37
38,hyundai#avante_hd(2006),38
39,hyundai#avante_md(2010),39
40,hyundai#avante_the new ad(2018),40
41,hyundai#avante_xd(2000),41
42,hyundai#casper_casper(2021),42
43,hyundai#equus_equus(1999),43
44,hyundai#equus_new(2009),44
45,hyundai#genesis_eq900(2015),45
46,hyundai#genesis_g70(2017),46
47,hyundai#genesis_g80 (rg3)(2020),47
48,hyundai#genesis_g80(2016),48
49,hyundai#genesis_g90 (rs4)(2021),49
50,hyundai#genesis_g90(2018),50
51,hyundai#genesis_genesis(2008),51
52,hyundai#genesis_gv70(2021),52
53,hyundai#genesis_gv80(2020),53
54,hyundai#genesis_the new g70(2020),54
