,label_,label
0,chevrolet(gm daewoo)#spark_spark(2011),0
1,hyundai#avante_ad(2015),1
2,hyundai#avante_md(2010),2
3,hyundai#avante_the new ad(2018),3
4,hyundai#genesis_g80 (rg3)(2020),4
5,hyundai#genesis_g80(2016),5
6,hyundai#grandeur_hg(2013),6
7,hyundai#grandeur_ig(2016),7
8,hyundai#grandeur_tg(2005),8
9,hyundai#grandeur_the new ig(2019),9
10,hyundai#ioniq_5(2021),10
11,hyundai#palisade_palisade(2018),11
12,hyundai#porter_2(hr)(unknown),12
13,hyundai#santafe_cm(2005),13
14,hyundai#santafe_dm(2012),14
15,hyundai#santafe_tm(2018),15
16,hyundai#sonata_dn8(2019),16
17,hyundai#sonata_lf(2014),17
18,hyundai#sonata_new rise(2017),18
19,hyundai#sonata_nf(2004),19
20,hyundai#sonata_yf(2009),20
21,hyundai#starex_grand(2007),21
22,hyundai#tucson_all new(2015),22
23,kia#bongo_bongo Ⅲ(unknown),23
24,kia#carens_new(2006),24
25,kia#carnival_4th(2020),25
26,kia#carnival_all new(2014),26
27,kia#carnival_r(2010),27
28,kia#carnival_the new(2018),28
29,kia#k5_2th(2015),29
30,kia#k5_k5(2010),30
31,kia#k7_all new(2016),31
32,kia#k8_k8(2021),32
33,kia#morning_all new(2011),33
34,kia#morning_urban(2020),34
35,kia#niro_niro(2016),35
36,kia#seltos_seltos(2019),36
37,kia#sorento_4th(2020),37
38,kia#sorento_the new(2017),38
39,kia#sportage_4th(2015),39
40,kia#sportage_r(2010),40
41,renault samsung#qm6_qm6(2016),41
42,renault samsung#sm5_new(2005),42
43,renault samsung#sm6_sm6(2016),43
44,ssangyong#tivoli_air(2016),44
45,ssangyong#tivoli_tivoli(2015),45
